year_month,person_or_corporation,state_brazil,default_rate
2004-01-01,P,AC,4.98
2004-01-01,P,AL,8.33
2004-01-01,P,AP,4.82
2004-01-01,P,AM,9.18
2004-01-01,P,BA,9.48
2004-01-01,P,CE,11.39
2004-01-01,P,DF,6.08
2004-01-01,P,ES,6.31
2004-01-01,P,GO,4.22
2004-01-01,P,MA,8.84
2004-01-01,P,MT,2.62
2004-01-01,P,MS,3.14
2004-01-01,P,MG,5.74
2004-01-01,P,PA,8.24
2004-01-01,P,PB,8.60
2004-01-01,P,PR,3.42
2004-01-01,P,PE,14.18
2004-01-01,P,PI,13.95
2004-01-01,P,RJ,8.52
2004-01-01,P,RN,8.93
2004-01-01,P,RS,4.67
2004-01-01,P,RO,5.23
2004-01-01,P,RR,8.92
2004-01-01,P,SC,3.78
2004-01-01,P,SP,5.77
2004-01-01,P,SE,9.69
2004-01-01,P,TO,4.93
2004-02-01,P,AC,5.31
2004-02-01,P,AL,7.81
2004-02-01,P,AP,4.83
2004-02-01,P,AM,9.16
2004-02-01,P,BA,9.29
2004-02-01,P,CE,11.37
2004-02-01,P,DF,5.93
2004-02-01,P,ES,6.37
2004-02-01,P,GO,4.19
2004-02-01,P,MA,8.36
2004-02-01,P,MT,2.62
2004-02-01,P,MS,3.20
2004-02-01,P,MG,5.71
2004-02-01,P,PA,8.08
2004-02-01,P,PB,7.55
2004-02-01,P,PR,3.47
2004-02-01,P,PE,13.85
2004-02-01,P,PI,13.91
2004-02-01,P,RJ,8.30
2004-02-01,P,RN,8.76
2004-02-01,P,RS,4.62
2004-02-01,P,RO,5.31
2004-02-01,P,RR,8.51
2004-02-01,P,SC,3.95
2004-02-01,P,SP,5.69
2004-02-01,P,SE,9.37
2004-02-01,P,TO,4.94
2004-03-01,P,AC,5.03
2004-03-01,P,AL,9.48
2004-03-01,P,AP,4.62
2004-03-01,P,AM,8.85
2004-03-01,P,BA,9.69
2004-03-01,P,CE,11.03
2004-03-01,P,DF,5.59
2004-03-01,P,ES,6.22
2004-03-01,P,GO,4.04
